LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:62052 - "POST /api/watchlist/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:62055 - "DELETE /api/watchlist/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:62057 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:63914 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63925 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:63927 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:60053 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56941 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:64850 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62021 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62020 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:52635 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52637 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:60513 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60511 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:52069 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52070 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:59768 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59766 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:59770 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58880 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:51894 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54862 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58118 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53101 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:61181 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60028 - "GET /api/settings HTTP/1.1" 200 OK
