LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:65256 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:65258 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:65268 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:65272 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:65275 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:51243 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58781 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:58783 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:56030 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56032 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:54727 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63026 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52275 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:61711 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63812 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63268 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:63270 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63271 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63484 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:63486 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63488 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:65302 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62144 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:62145 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51913 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:51915 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50679 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:60183 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63582 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:57000 - "GET /api/progress/movies/4 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63716 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:62941 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:58907 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:55876 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:55017 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:63681 - "GET /api/progress/movies/4 HTTP/1.1" 200 OK
INFO:     127.0.0.1:60837 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:60843 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60844 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:49164 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:49166 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49168 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52005 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52007 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:64756 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:64758 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:64611 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:56075 - "GET /api/progress/movies/4 HTTP/1.1" 200 OK
INFO:     127.0.0.1:60792 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:51542 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:51467 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:55288 - "GET /api/progress/movies/4 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:55290 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:54580 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54583 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54584 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52088 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:57561 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:57563 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52708 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52892 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:52893 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52895 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52898 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:52900 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52902 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52907 - "GET /api/media/TV%20Shows/Counterpart/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:52905 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:49691 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59760 - "GET /api/movies HTTP/1.1" 200 OK
