LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:58983 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:58982 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58986 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58990 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58988 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49675 - "DELETE /api/movies/1 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:62023 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63732 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58293 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58292 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:56979 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56981 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:55496 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56369 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52462 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62829 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54862 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62381 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:64518 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60710 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52079 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52083 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52082 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52087 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52086 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52091 - "GET /api/stream/movies/2 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52097 - "GET /api/stream/movies/3 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52099 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52101 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52103 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52107 - "GET /api/stream/movies/5 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:65482 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:65488 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:65490 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:65493 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:65494 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59517 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53027 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60181 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:60729 - "POST /api/movies/6/poster HTTP/1.1" 200 OK
INFO:     127.0.0.1:63817 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63966 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63968 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63970 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63974 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63972 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63976 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:55635 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53885 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:54576 - "POST /api/movies/7/poster HTTP/1.1" 200 OK
INFO:     127.0.0.1:65326 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:62540 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:62539 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:50930 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:50932 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50934 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:50936 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:50938 - "GET /api/media/Movies/Inception/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:60237 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60239 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60243 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60242 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60245 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:51505 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:51507 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:51509 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51513 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51512 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:51515 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:51517 - "GET /api/media/Movies/Inception/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:53764 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:51836 - "POST /api/shows HTTP/1.1" 201 Created
INFO:     127.0.0.1:57038 - "POST /api/shows/1/poster HTTP/1.1" 200 OK
INFO:     127.0.0.1:61508 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52086 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54288 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:54286 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54290 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54292 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:54296 - "GET /api/media/Movies/Inception/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54295 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54298 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:60892 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60896 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60898 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60902 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60900 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60906 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:60910 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:60908 - "GET /api/media/Movies/Inception/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:60912 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60914 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60916 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60918 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60920 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:64199 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59987 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59989 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59991 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58119 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63747 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64738 - "POST /api/shows/1/seasons HTTP/1.1" 201 Created
INFO:     127.0.0.1:64047 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56043 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:64238 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:49284 - "POST /api/shows/1/seasons/1/episodes HTTP/1.1" 201 Created
INFO:     127.0.0.1:55208 - "POST /api/episodes/1/thumbnail HTTP/1.1" 200 OK
INFO:     127.0.0.1:53910 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56307 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56310 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:56311 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56313 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56317 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56316 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:56319 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:56321 - "GET /api/media/TV%20Shows/From/Season%2001/E01-thumb.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54879 - "POST /api/shows/1/seasons HTTP/1.1" 201 Created
INFO:     127.0.0.1:52818 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:53315 - "POST /api/shows/1/seasons/2/episodes HTTP/1.1" 201 Created
INFO:     127.0.0.1:64431 - "POST /api/episodes/2/thumbnail HTTP/1.1" 200 OK
INFO:     127.0.0.1:49750 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57769 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:57771 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57775 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:57774 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:57777 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57779 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:57781 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:57785 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:57783 - "GET /api/media/TV%20Shows/From/Season%2001/E01-thumb.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:57787 - "GET /api/media/TV%20Shows/From/Season%2002/E01-thumb.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54437 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53259 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52428 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59391 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59393 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59395 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59397 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59399 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59402 - "GET /api/media/TV%20Shows/From/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:59405 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59403 - "GET /api/media/TV%20Shows/From/Season%2001/E01-thumb.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:59407 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59411 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59413 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59415 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59417 - "GET /api/shows/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59421 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59419 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54634 - "GET /api/settings HTTP/1.1" 200 OK
