LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:61135 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:61137 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61138 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:61141 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:55348 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:55350 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:55469 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52807 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52743 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52744 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52746 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:65013 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56491 - "POST /api/events HTTP/1.1" 204 No Content
INFO:     127.0.0.1:58068 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:58069 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58071 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49182 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50221 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:53686 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:57524 - "GET /api/progress/movies/4 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:54437 - "POST /api/events HTTP/1.1" 204 No Content
INFO:     127.0.0.1:57991 - "POST /api/events HTTP/1.1" 204 No Content
INFO:     127.0.0.1:49989 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:53962 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62851 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:62852 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:62854 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52020 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:51170 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60228 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:61339 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59134 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57250 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:57999 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:58002 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59207 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:62476 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58000 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:53877 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:50846 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:50847 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:50848 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:57049 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:57051 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:57052 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50708 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57063 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58838 - "POST /api/events HTTP/1.1" 204 No Content
INFO:     127.0.0.1:49678 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:49681 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:49680 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59085 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:59087 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59089 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49347 - "POST /api/events HTTP/1.1" 204 No Content
INFO:     127.0.0.1:49349 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51413 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51429 - "PUT /api/progress/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:65429 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65431 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63210 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63213 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63216 - "GET /api/media/nonexistent.jpg HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63220 - "GET /api/movies HTTP/1.1" 200 OK
